"";"orgao";"uniorcam";"funcao";"subfuncao";"programa";"projativ";"rubrica";"recurso_vinculado";"contrapartida_recurso_vinculado";"numero_empenho";"credor";"caracteristica_peculiar";"complemento_recurso_vinculado";"ano_empenho";"cnpj";"data_base";"data_geracao";"entidade";"empenhado";"liquidado";"pago"
"1";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.01.01.99.000";"0001";"0000";"0202000000466";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";1419,85;1419,85;1419,85
"2";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.01.01.99.000";"0001";"0000";"0202000001129";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";1419,85;1419,85;1419,85
"3";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.01.01.99.000";"0001";"0000";"0202000001782";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";1419,85;1419,85;1419,85
"4";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.01.01.99.000";"0001";"0000";"0202000002267";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";1419,85;1419,85;1419,85
"5";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.01.01.99.000";"0001";"0000";"0202000002713";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";1419,85;1419,85;1419,85
"6";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.01.01.99.000";"0001";"0000";"0202000003150";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";1419,85;1419,85;1419,85
"7";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.01.01.99.000";"0001";"0000";"0202000003605";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";1419,85;1419,85;1419,85
"8";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.01.01.99.000";"0001";"0000";"0202000004079";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";1419,85;1419,85;1419,85
"9";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.01.01.99.000";"0001";"0000";"0202000004628";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";1419,85;1419,85;1419,85
"10";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.01.01.99.000";"0001";"0000";"0202000005096";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";1419,85;1419,85;1419,85
"11";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.01.01.99.000";"0001";"0000";"0202000005637";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";1419,85;1419,85;1419,85
"12";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.01.01.99.000";"0001";"0000";"0202000006353";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";1419,85;1419,85;1419,85
"13";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.31.00.00.000";"0001";"0000";"0202000003624";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";937,2;937,2;937,2
"14";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.33.00.00.000";"0001";"0000";"0202000000475";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";937,2;937,2;937,2
"15";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.33.00.00.000";"0001";"0000";"0202000000489";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";1085,96;1085,96;1085,96
"16";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.33.00.00.000";"0001";"0000";"0202000000498";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";1874,4;1874,4;1874,4
"17";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.33.00.00.000";"0001";"0000";"0202000000535";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";1210,92;1210,92;1210,92
"18";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.33.00.00.000";"0001";"0000";"0202000000585";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";937,2;937,2;937,2
"19";"02";"01";"04";"122";"0001";"02004";"3.1.90.11.33.00.00.000";"0001";"0000";"0202000001140";213;"000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA";937,2;937,2;937,2
