"";"orgao";"uniorcam";"funcao";"subfuncao";"programa";"obsoleto1";"projativ";"rubrica";"recurso_vinculado";"contrapartida_recurso_vinculado";"numero_empenho";"data_empenho";"valor_empenho";"sinal_valor";"credor";"obsoleto2";"caracteristica_peculiar";"obsoleto3";"registro_precos";"obsoleto4";"numero_licitacao";"ano_licitacao";"historico_empenho";"forma_contratacao";"base_legal";"despesa_funcionario";"licitacao_compartilhada";"cnpj_orgao_gerenciador";"complemento_recurso_vinculado";"ano_empenho";"cnpj";"data_base";"data_geracao";"entidade"
"1";"11";"01";"28";"846";"0000";0;"00007";"3.3.90.47.12.00.00.000";"0001";"0000";"0202000000001";2020-01-02;207000;"+";231;NA;"000";0;"N";NA;"00000000000000000000";"0000";"PASEP A RECOLHER NO EXERCICIO DE 2020 CONFORME ESTIMATIVA. COMPETENCIA: 2020";"NSA";"00";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"2";"11";"01";"28";"846";"0000";0;"00007";"3.3.90.47.12.00.00.000";"0001";"0000";"0202000000001";2020-09-17;-15000;"-";231;NA;"000";0;"N";NA;"00000000000000000000";"0000";"SOBRA DA NE PELA ESTIMATIVA, COM A FINALIDADE DE EMPENHO COMPLEMENTAR DA NE 0002/2020 RELATIVOS AS RETENCOES.";"NSA";"00";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"3";"11";"01";"28";"846";"0000";0;"00007";"3.3.90.47.12.00.00.000";"0001";"0000";"0202000000001";2020-11-09;-10000;"-";231;NA;"000";0;"N";NA;"00000000000000000000";"0000";"SOBRA DA NE PARA EMPENHAR COMPLEMENTO DAS NES 0002 E 4501, REFERENTE RETENCOES DE RECURSOS FEDERAIS.";"NSA";"00";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"4";"11";"01";"28";"846";"0000";0;"00007";"3.3.90.47.12.00.00.000";"0001";"0000";"0202000000002";2020-01-02;70000;"+";231;NA;"000";0;"N";NA;"00000000000000000000";"0000";"RETENCAO AO PASEP 1% FPM...............R$ ITR...............R$ FEP...............R$ ICMS EXP..........R$ FEX. CEX..........R$ AFM-APOIO.........R$";"NSA";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"5";"05";"02";"12";"361";"0002";0;"02019";"3.3.90.39.43.00.00.000";"0020";"0000";"0202000000003";2020-01-02;360;"+";224;NA;"000";0;"N";NA;"00000000000000000000";"0000";"ENERGIA  ELETRICA  UTILIZADA  NA  ESCOLA  MUNICIPAL  PRIMEIRO  DE  MAIO, NO EXERCICIO 2020. MES: FAT. No: No CONOSCO: 7852 CONSUMO:";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"6";"05";"02";"12";"361";"0002";0;"02019";"3.3.90.39.43.00.00.000";"0020";"0000";"0202000000003";2020-03-04;-336,19;"-";224;NA;"000";0;"N";NA;"00000000000000000000";"0000";"DEVIDO A ESCOLA TER SIDO CEDIDA PARA A COMUNIDADE.";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"7";"08";"01";"10";"301";"0006";0;"02059";"3.3.90.39.43.00.00.000";"0040";"0000";"0202000000004";2020-01-02;480;"+";224;NA;"000";0;"N";NA;"00000000000000000000";"0000";"ENERGIA  ELETRICA  UTILIZADA NO ESF DE ESQUINA ARAUJO, NO EXERCICIO 2020. MES: FAT. No: No CONOSCO: 7854 CONSUMO:";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"8";"08";"01";"10";"301";"0006";0;"02059";"3.3.90.39.43.00.00.000";"0040";"0000";"0202000000004";2020-12-28;-140,47;"-";224;NA;"000";0;"N";NA;"00000000000000000000";"0000";"SOBRA DA NE.";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"9";"08";"01";"10";"301";"0006";0;"02059";"3.3.90.39.43.00.00.000";"0040";"0000";"0202000000005";2020-01-02;360;"+";224;NA;"000";0;"N";NA;"00000000000000000000";"0000";"ENERGIA  ELETRICA  UTILIZADA  NO  ESF DE SAO VALENTIM, NO EXERCICIO 2020. MES: FAT. No: No CONOSCO: 7855 CONSUMO:";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
"10";"08";"01";"10";"301";"0006";0;"02059";"3.3.90.39.43.00.00.000";"0040";"0000";"0202000000005";2020-12-28;-76,04;"-";224;NA;"000";0;"N";NA;"00000000000000000000";"0000";"SOBRA DA NE.";"DPV";"01";"X";"X";"00000000000000";"0000";"02020";"87612826000190";2020-12-31;2021-01-13;"PREFEITURA MUNICIPAL INDEPENDENCIA"
